ticker,publish_date,period_end,EPSDiluted,StockholdersEquity,AvgDilutedSharesOutstanding,Revenue,CommonStockDividendsPerShare
AVGO,2017-06-08,2017-04-30,1.05,22343000000,442000000,4190000000,1.02
AVGO,2017-03-09,2017-01-29,0.57,22010000000,439000000,4139000000,1.02
JPM,2025-08-05,2025-06-30,5.24,356924000000,2793700000,42063000000,1.4
JPM,2025-05-01,2025-03-31,5.07,351420000000,2824300000,42005000000,1.4
JPM,2025-02-14,2024-12-31,19.75,344758000000,2879000000,166878000000,4.8
JPM,2025-02-14,2024-12-31,4.81,344758000000,2842400000,40137000000,1.25
JPM,2024-10-30,2024-09-30,4.37,345836000000,2865900000,39543000000,1.25
JPM,2024-08-02,2024-06-30,6.12,340552000000,2894900000,47148000000,1.15
JPM,2024-05-01,2024-03-31,4.44,336637000000,2912800000,40050000000,1.15
JPM,2024-02-16,2023-12-31,16.23,327878000000,2943100000,148784000000,4.1
JPM,2024-02-16,2023-12-31,3.05,327878000000,2919300000,35812000000,1.05
JPM,2023-11-01,2023-09-30,4.33,317371000000,2932100000,38490000000,1.05
JPM,2023-08-03,2023-06-30,4.75,312516000000,2948300000,38408000000,1
JPM,2023-05-03,2023-03-31,4.1,303082000000,2972700000,36074000000,1
JPM,2023-02-21,2022-12-31,12.09,292332000000,2970000000,122306000000,4
JPM,2023-02-21,2022-12-31,3.58,292332000000,2967300000,32259000000,1
JPM,2022-11-03,2022-09-30,3.12,288018000000,2965400000,31179000000,1
JPM,2022-08-03,2022-06-30,2.76,286143000000,2966300000,29614000000,1
JPM,2022-05-03,2022-03-31,2.63,285899000000,2981000000,29254000000,1
JPM,2022-02-22,2021-12-31,15.36,294127000000,3026600000,130905000000,3.8
JPM,2022-02-22,2021-12-31,3.34,294127000000,2980500000,30545000000,1
JPM,2021-11-02,2021-09-30,3.74,290041000000,3005100000,31174000000,1
JPM,2021-08-02,2021-06-30,3.78,286386000000,3041900000,32764000000,0.9
JPM,2021-05-04,2021-03-31,4.5,280714000000,3078900000,36422000000,0.9
JPM,2021-02-23,2020-12-31,8.88,279354000000,3087400000,102471000000,3.6
JPM,2021-02-23,2020-12-31,3.79,279354000000,3085100000,31224000000,0.9
JPM,2020-11-02,2020-09-30,2.92,271113000000,3082800000,28644000000,0.9
JPM,2020-08-03,2020-06-30,1.38,264466000000,3081000000,22602000000,0.9
JPM,2020-05-07,2020-03-31,0.78,261262000000,3100700000,20001000000,0.9
JPM,2020-02-25,2019-12-31,10.72,261330000000,3230400000,110135000000,3.4
JPM,2020-02-25,2019-12-31,2.57,261330000000,3146500000,27179000000,0.9
JPM,2019-11-04,2019-09-30,2.68,264348000000,3207200000,27777000000,0.9
JPM,2019-08-06,2019-06-30,2.82,263215000000,3259700000,27598000000,0.8
JPM,2019-05-02,2019-03-31,2.65,259837000000,3308200000,27628000000,0.8
JPM,2019-02-26,2018-12-31,9,256515000000,3414000000,103912000000,2.72
JPM,2019-02-26,2018-12-31,2,256515000000,3347500000,24315000000,0.8
JPM,2018-10-31,2018-09-30,2.34,258956000000,3394300000,26312000000,0.8
JPM,2018-08-01,2018-06-30,2.29,257458000000,3434700000,26543000000,1.12
JPM,2018-05-02,2018-03-31,2.37,256201000000,3479500000,26742000000,0.56
